x,y,z,type,volume,custom:length,custom:angle
9.259231582120094,104.28073541405482,0,granulosa,767.3847815959693,1,0
-83.09927336091732,-107.45744238649951,0,granulosa,527.7981544418861,1,0
-235.419006391852,82.83696384986223,0,granulosa,441.4392582992611,1,0
-191.94666993600237,144.09984310926285,0,granulosa,614.5396575717083,1,0
71.01319087262476,-64.69400715550361,0,granulosa,730.8247266825593,1,0
-4.938682750732994,87.58081745716598,0,granulosa,1058.1762472610806,1,0
-289.0079403754922,38.02661117027688,0,granulosa,1179.5968925412133,1,0
-63.012931374613174,-38.59200782069502,0,granulosa,796.9204818256993,1,0
99.40158384276253,-6.959506535107465,0,granulosa,453.11162735155506,1,0
-176.817766524433,-113.23743139379326,0,granulosa,313.2260645658415,1,0
-202.1306898859152,-108.39363192243455,0,granulosa,862.943142114442,1,0
-133.140610648034,-70.13418999971705,0,granulosa,493.48548644931105,1,0
-218.40279295830496,-115.15445898906938,0,granulosa,362.2833621535606,1,0
-197.61062371776677,-8.006563208085993,0,granulosa,327.3507912599699,1,0
255.67587328725745,-15.043034514032314,0,granulosa,1377.607239540464,1,0
-78.63852752683573,-52.7781405549659,0,granulosa,1151.7731442447725,1,0
-115.79962337310411,76.85287592359938,0,granulosa,686.9752605934442,1,0
-160.47384545442625,-78.92811398185027,0,granulosa,740.9123118060133,1,0
69.54207137960009,66.92290597335264,0,granulosa,612.3257361440046,1,0
-41.06516686120432,137.00108591322834,0,granulosa,527.8485144886043,1,0
-18.02084318274524,105.75443571670073,0,granulosa,721.8145068552316,1,0
-172.80902912724844,133.6322933293187,0,granulosa,296.1518619191567,1,0
-50.58219838528504,-122.40499285225071,0,granulosa,406.6770245645062,1,0
231.11277811407876,-50.26496952885249,0,granulosa,329.3085861503641,1,0
-289.02408748138265,-67.51540621731245,0,granulosa,1118.0061555821674,1,0
38.58137565961749,-40.87820563583897,0,granulosa,355.2157678111373,1,0
64.83242063418851,49.71642202104664,0,granulosa,1011.799560584105,1,0
-94.11127794133972,71.84127040047306,0,granulosa,484.04838143074517,1,0
78.17074703111882,62.424557078594404,0,granulosa,492.6172417818468,1,0
-139.987955009295,11.597579916186561,0,granulosa,1128.454842043166,1,0
-37.58316250587137,-37.240923078781336,0,granulosa,867.465989960731,1,0
186.5075481048837,-49.747282829593615,0,granulosa,422.43831161787756,1,0
39.69928213297533,-106.04281071496682,0,granulosa,410.8032614187001,1,0
214.81931276220632,0.880822255680755,0,granulosa,1197.4600224582696,1,0
135.742471603049,-127.17922209034299,0,granulosa,408.2804915061082,1,0
268.8883395467833,-79.43478672641615,0,granulosa,564.065039771865,1,0
182.0291458610439,-94.19886191848013,0,granulosa,1159.4945878332505,1,0
-274.0606673822059,-89.59913385607571,0,granulosa,815.320518326914,1,0
59.89087168927148,-51.094184257238794,0,granulosa,1098.9145525701813,1,0
228.31261157919744,-118.4565788928171,0,granulosa,1361.469136343851,1,0
231.20458059387397,38.26552614221745,0,granulosa,1078.0823188509557,1,0
246.49306259181787,8.61782421849685,0,granulosa,1423.590048080706,1,0
87.42601712972493,41.74307994686444,0,granulosa,1174.5860885930022,1,0
160.01582259904671,133.19276956981759,0,granulosa,633.8668849240759,1,0
280.7764460546607,3.4783630969110675,0,granulosa,1321.2335725439902,1,0
-58.98976037775398,44.32896524678,0,granulosa,1070.4861441502658,1,0
275.46255900551444,80.45180441937492,0,granulosa,790.8490091847477,1,0
196.51975111236663,117.74338482143139,0,granulosa,1418.182896240831,1,0
178.23431609464313,-109.18867556839271,0,granulosa,900.3274016299695,1,0
290.5900923512098,-121.70118525309296,0,granulosa,1274.2401604508468,1,0
53.264101927563274,140.49497193019442,0,granulosa,963.8037566971807,1,0
-31.396953370463677,129.1376583850594,0,granulosa,827.6196429171283,1,0
-90.286132772109,88.73535873881082,0,granulosa,1025.8506440062026,1,0
33.18622427225347,46.48608326677831,0,granulosa,390.62743038011126,1,0
-119.899169411999,-110.2097605166777,0,granulosa,1095.2464880414184,1,0
-134.079746586862,117.45182725465793,0,granulosa,1246.1166116452405,1,0
-134.55676430627167,-20.079822799688884,0,granulosa,650.9209948547324,1,0
-62.715977383670776,80.14966112537496,0,granulosa,299.9654191393637,1,0
-250.99793549941452,117.7220791399161,0,granulosa,492.9131355975983,1,0
-157.10029796818955,59.83614011127608,0,granulosa,404.91800162522543,1,0
22.10895274626705,-114.7978496113397,0,granulosa,778.2494481586878,1,0
-188.76640059689703,77.88844436905262,0,granulosa,1263.8561235241677,1,0
99.38669461485728,-83.8720560732675,0,granulosa,1399.7046627295629,1,0
140.9528561354909,-140.87243768241666,0,granulosa,351.77340728538513,1,0
46.646860883742875,-120.37211214050083,0,granulosa,469.32836900511853,1,0
187.41359945545707,110.59190186600057,0,granulosa,1143.9972858296208,1,0
254.6105212948312,18.093102446288157,0,granulosa,673.3938722724782,1,0
